congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
118,Senate,1,2023-01-23,1,1,60,35,0.75,-0.661,0.331,0.885,-22.521,PN1,Nomination Confirmed,"Brendan Owens, of Virginia, to be an Assistant Secretary of Defense",On the Nomination,
118,Senate,2,2023-01-26,1,2,94,0,0.0,0.0,0.0,0.0,0.0,SRES13,Resolution Agreed to,"A resolution raising awareness and encouraging the prevention of stalking by designating January 2023 as ""National Stalking Awareness Month"".",On the Resolution,
118,Senate,3,2023-01-30,1,3,84,10,0.741,0.671,0.228,0.092,-16.534,PN62,Nomination Confirmed,"Roger Israel Zakheim, of Maryland, to be a Member of the Board of Directors of the United States Institute of Peace for a term of four years",On the Nomination,
118,Senate,4,2023-02-01,1,4,97,0,0.0,0.0,0.0,0.0,0.0,SRES21,Resolution Agreed to,"A resolution supporting the observation of National Trafficking and Modern Slavery Prevention Month during the period beginning on January 1, 2023, and ending on February 1, 2023, to raise awareness of, and opposition to, human trafficking and modern slavery.",On the Resolution,
118,Senate,5,2023-02-02,1,5,60,37,0.281,0.44,0.411,0.677,-16.21,PN61,Nomination Confirmed,"Joseph Lee Falk, of Florida, to be a Member of the Board of Directors of the United States Institute of Peace for a term of four years",On the Nomination,
118,Senate,6,2023-02-07,1,6,54,43,-0.068,0.688,0.472,1.228,-8.013,PN88,Cloture Motion Agreed to,"DeAndrea Gist Benjamin, of South Carolina, to be United States Circuit Judge for the Fourth Circuit",On the Cloture Motion,
118,Senate,7,2023-02-09,1,7,53,44,0.036,0.459,0.441,1.297,-8.626,PN88,Nomination Confirmed,"DeAndrea Gist Benjamin, of South Carolina, to be United States Circuit Judge for the Fourth Circuit",On the Nomination,
118,Senate,8,2023-02-09,1,8,52,46,0.241,-0.019,0.531,1.144,-1.919,PN92,Cloture Motion Agreed to,"Cindy K. Chung, of Pennsylvania, to be United States Circuit Judge for the Third Circuit",On the Cloture Motion,
118,Senate,9,2023-02-13,1,9,50,44,0.243,-0.022,0.53,1.147,-1.917,PN92,Nomination Confirmed,"Cindy K. Chung, of Pennsylvania, to be United States Circuit Judge for the Third Circuit",On the Nomination,
118,Senate,10,2023-02-13,1,10,52,44,0.454,-0.891,0.678,0.744,-5.782,PN79,Cloture Motion Agreed to,"Gina R. Mendez-Miro, of Puerto Rico, to be United States District Judge for the District of Puerto Rico",On the Cloture Motion,
118,Senate,11,2023-02-14,1,11,54,45,0.454,-0.89,0.677,0.744,-5.783,PN79,Nomination Confirmed,"Gina R. Mendez-Miro, of Puerto Rico, to be United States District Judge for the District of Puerto Rico",On the Nomination,
118,Senate,12,2023-02-14,1,12,58,41,0.36,0.071,0.614,0.861,-6.701,PN74,Cloture Motion Agreed to,"Lindsay C. Jenkins, of Illinois, to be United States District Judge for the Northern District of Illinois",On the Cloture Motion,
118,Senate,13,2023-02-14,1,13,59,40,0.387,0.023,0.591,0.947,-6.291,PN74,Nomination Confirmed,"Lindsay C. Jenkins, of Illinois, to be United States District Judge for the Northern District of Illinois",On the Nomination,
118,Senate,14,2023-02-14,1,14,54,45,0.23,0.081,0.475,1.288,-4.985,PN72,Cloture Motion Agreed to,"Matthew L. Garcia, of New Mexico, to be United States District Judge for the District of New Mexico",On the Cloture Motion,
118,Senate,15,2023-02-14,1,15,53,46,0.242,-0.02,0.531,1.144,-1.919,PN72,Nomination Confirmed,"Matthew L. Garcia, of New Mexico, to be United States District Judge for the District of New Mexico",On the Nomination,
118,Senate,16,2023-02-14,1,16,53,44,0.244,-0.014,0.525,1.16,-1.769,PN71,Cloture Motion Agreed to,"Adrienne C. Nelson, of Oregon, to be United States District Judge for the District of Oregon",On the Cloture Motion,
118,Senate,17,2023-02-15,1,17,52,46,0.242,-0.02,0.531,1.144,-1.919,PN71,Nomination Confirmed,"Adrienne C. Nelson, of Oregon, to be United States District Judge for the District of Oregon",On the Nomination,
118,Senate,18,2023-02-15,1,18,52,47,-0.044,0.837,0.697,1.006,-3.453,PN80,Cloture Motion Agreed to,"Ana C. Reyes, of the District of Columbia, to be United States District Judge for the District of Columbia",On the Cloture Motion,
