viability_range,bill_count,passed_count,pass_rate,min_viability,max_viability
0-10%,36399,77,0.2115442731943185,0.0,0.1
10-20%,32295,653,2.021984827372658,0.1,0.2
20-30%,4029,467,11.590965500124101,0.2,0.3
30-40%,2077,566,27.25084256138662,0.3,0.4
40-50%,545,205,37.61467889908257,0.4,0.5
50-60%,217,85,39.1705069124424,0.5,0.6
60-70%,366,178,48.63387978142077,0.6,0.7
70-80%,544,279,51.28676470588235,0.7,0.8
80-90%,116,65,56.03448275862068,0.8,0.9
90-95%,14,12,85.71428571428571,0.9,0.95
95-98%,42,42,100.0,0.95,0.98
98-99%,1,1,100.0,0.98,0.99
99-100%,209,207,99.04306220095694,0.99,1.0
